    OtG       O81qq      O11qq      O83qq      O13qq      O8qt       O1qt       O8ut       O1ut       O8qu       O1qu       O8dt       O1dt       O8qd       O1qd        OtW       OQQ1       OQQ8       OQt1      OQtQb1     OQtQb8      OQt8       OQb1       OQb8       Ott1       Otb1       Otb8        Otp       OpQM       Ofq3        Opt        Off        OtZ        ObW    
  -0.17877    2.51837    0.88794   -2.71181   -0.95633    0.32156    1.47586   -3.04086    1.54474    5.79902   -2.22943   -0.98336   -8.43063    3.00120   -0.36728   -0.09808   -0.05989   -4.51499   -4.01919    6.07058   -3.99575   -1.88415    0.69702   -2.18054    8.87986    3.98636   -6.62617   -9.18034    2.42761    2.70343    4.63176   -8.49013    0.26502   -0.13903
  -0.07602   -0.11411   -2.78079    2.48517   -0.04910    1.47578    2.30037   -1.21643   -1.99499   -2.73824    2.16789    1.53935   -0.79487    0.48797   -0.31797   -3.28360    9.86745   -1.59752   -8.50569   -3.28263    9.27116    2.12382    7.20475    1.69758    4.44258   10.04921    6.84174    6.40859   -3.42201   -3.53613    4.17096   -2.26385    0.30598   -0.13839
  -0.07602   -0.11411   -2.78079    2.48517   -0.04910    1.47578    2.30037   -1.21643   -1.99499   -2.73824    2.16789    1.53935   -0.79487    0.48797   -0.31797   -3.28360    9.86745   -1.59752   -8.50569   -3.28263    9.27116    2.12382    7.20475    1.69758    4.44258   10.04921    6.84174    6.40859   -3.42201   -3.53613    4.17096   -2.26385    0.30598   -0.13839
  -0.18645    5.26971    0.35684   -0.96533   -1.50834    1.05154   -0.29495   -0.09315    0.82962   -3.72250    0.77760    1.09249   -2.87512   -3.19763    0.37171   -2.11210    1.11328    3.29257   -2.07909   -7.18288    7.54772   -6.98735   -7.97489    2.19434    8.50819    3.38861    8.97039   -8.87900    2.85249   -3.27582    8.20909   -6.32042   -0.31761    6.89943
   0.01289    1.72197    4.76956   -0.39177   -0.89514    0.25617   -0.20874    4.73995   -0.44493   -9.45721   -7.01801    1.56134   -1.49275   -2.80771    2.78181    1.05626   -8.55702   -6.69807   -1.26645    2.99886   -9.54926    4.50315    2.51589   -9.55248   -2.93011    8.01077    3.03445    9.25928   -0.64066   -1.19150    8.16272   -5.86755   -1.31134   -0.06071
   0.03610    2.97062    0.38449   -0.76917   -0.10229    0.13998    0.01040    5.47531   -0.03609   -9.16894   -2.98993   -0.10221    0.26505   -4.18416    0.88442   -0.36519   -8.95331    0.76804    7.63746   -9.19966   -3.00202    4.17172   -7.46693   -6.65392    1.85260   -9.67702   -2.42723   -7.46515    1.82877    0.75427   -6.64141   -6.81433    0.47073   -0.53300
   0.05191    5.17478    3.72531   -0.23119   -1.27398   -1.18659   -1.10460   -0.95835   -1.01642  -10.42489   -0.65787    5.43584   -4.54004    0.39293    0.35644   -0.52580   -8.42608   -6.90514   -3.91789   -3.18371   -9.25613    6.42073   -5.80483   -3.76970   -6.29993    9.51367   -7.16908    6.12925   -0.48799   -1.88440    2.08057    3.91328   -0.16920   -1.49478
   0.21259   -1.01632    4.27806    2.00222    1.05428   -1.77220   -0.84400    0.14689   -0.61729    0.08359   -2.07009   -3.49500   -3.10494   -6.07139    1.57706   -0.24454    0.77442   -9.78649    3.00936    1.77738    0.07196   -5.31086    7.18945    4.15885   -7.97614   -5.43190    6.07034    9.72016   -2.76301    0.89785    6.86144   -8.38321    0.81691   -0.11584
  -0.02474   -1.99895    0.35348    3.66707    1.25440    0.54016   -0.50386    0.16120   -2.69113   -7.55035   -0.29834    6.30851    1.00951    5.57672   -0.36163   -0.43052   -5.10560    0.45414   -5.73331   -6.84947   -6.74281   -6.79969    5.30322   -6.48630    7.50625    1.62006   -5.04358   -0.12500   -4.73459   -1.48707    5.44233   -6.50671    1.82084    0.15426
  -0.02474   -1.99895    0.35348    3.66707    1.25440    0.54016   -0.50386    0.16120   -2.69113   -7.55035   -0.29834    6.30851    1.00951    5.57672   -0.36163   -0.43052   -5.10560    0.45414   -5.73331   -6.84947   -6.74281   -6.79969    5.30322   -6.48630    7.50625    1.62006   -5.04358   -0.12500   -4.73459   -1.48707    5.44233   -6.50671    1.82084    0.15426
  -0.02615    2.54802    0.29738   -2.29467   -1.41049   -0.31620    1.56330    0.01390    2.39039    1.85007    0.09185    2.23388  -10.61101   -5.94633    0.57262   -0.15152   -9.11915    3.17265    2.68363   -5.02240    4.33855    0.78983   -0.83111    7.82412   -6.47650   -2.67521   -7.06441   -9.79559    2.81268    0.28766   -5.40324   -2.29954   -0.29324   -0.31180
   0.03114    3.85594    0.16272   -2.77716   -2.19450   -0.79194    2.10903   -2.63622    1.22446    0.01725    0.86602   -1.06168   -5.93614   -5.41089    0.94469   -0.12972    2.23650    0.94929    6.84108   -5.08258    1.15533   -7.35869    4.83500   -2.87104   -5.89969    8.37288    6.13346   -0.80796    2.95497   -2.85607   -0.94053    7.45714   -0.14005   -0.36409
   0.11347    5.05029    0.53767   -2.57607   -0.67557   -0.48642    1.59728   -2.14373    2.01237   -7.05955   -2.76102    1.75201   -9.19542   -3.05255    1.26532    0.04601    1.32931   -2.55908    6.49001   -6.81257    3.90629    1.01464   -2.80447    9.36069  -10.44426    2.15411    5.18509    8.74431    2.90606    1.40014    2.67238   -3.51182    0.64902    1.93341
   0.24187   -7.24568   -1.22103    0.83464    0.15815   -0.45536    1.09854    0.24959   -2.43154    3.59216    8.82350   -5.07786    1.88278   -5.68971    0.66232   -0.37684   -2.51191   -5.88671    0.33657   -8.83234    6.23290   -3.21714    3.04297    0.34008    2.90514    3.00522    7.89522    0.28946    0.31596   -1.08158   -4.74009   -6.62686   -0.92727   -0.22421
